lr,train/loss,train/color_loss,train/normal_loss,train/mask_error,train/sfm_depth_loss,train/psnr,train/s_val,epoch,created_at,val/loss,val/psnr
2.50E-05,0.942121685,0.779123008,2.75E-05,0.107592307,0.05537894,9.848018646,0.050375789,0,2022/8/4 12:38,,
2.50E-05,0.934860468,0.740699828,5.16E-05,0.122714832,0.071394227,10.28490829,0.050615095,0,2022/8/4 12:38,,
2.50E-05,0.798217714,0.616149306,5.81E-05,0.114524685,0.067485653,11.93789577,0.050840858,0,2022/8/4 12:38,,
2.50E-05,0.745287657,0.538156569,0.000120631,0.137104258,0.06990616,13.15154648,0.051243566,0,2022/8/4 12:39,,
2.50E-05,0.694684684,0.460234553,0.000262877,0.139322355,0.094864927,14.04487419,0.05167501,0,2022/8/4 12:39,,
2.50E-05,0.65398407,0.419947594,0.000198007,0.137672797,0.096165679,14.54385281,0.052040298,0,2022/8/4 12:39,,
2.50E-05,0.664675713,0.428222507,0.00014713,0.135466114,0.100839995,14.42479324,0.052460875,0,2022/8/4 12:40,,
2.50E-05,0.656103969,0.441116899,9.35E-05,0.129921183,0.084972471,14.14691544,0.052885871,0,2022/8/4 12:40,,
2.50E-05,0.612536252,0.417307287,7.18E-05,0.110860787,0.084296346,14.79886532,0.053307369,0,2022/8/4 12:40,,
2.50E-05,0.557403862,0.411714345,6.66E-05,0.116220571,0.029402366,14.74740124,0.053656876,0,2022/8/4 12:41,,
2.50E-05,0.564922035,0.402710348,6.17E-05,0.098919056,0.063230939,15.01029873,0.054001413,0,2022/8/4 12:41,,
2.50E-05,0.575506747,0.400107682,5.13E-05,0.101602614,0.073745064,14.95615578,0.054314002,0,2022/8/4 12:41,,
,,,,,,,,0,2022/8/4 12:42,0.44587642,16.25296783
2.50E-05,0.566304445,0.387571454,4.81E-05,0.103603594,0.075081289,15.28325844,0.054642398,1,2022/8/4 12:42,,
2.50E-05,0.563526094,0.40511322,4.22E-05,0.092830323,0.065540381,14.7959156,0.054967921,1,2022/8/4 12:42,,
2.50E-05,0.528779805,0.380257487,4.53E-05,0.096537255,0.051939841,15.10530281,0.055268262,1,2022/8/4 12:43,,
2.50E-05,0.496437192,0.358952016,3.83E-05,0.088049985,0.049396835,15.62058067,0.055576086,1,2022/8/4 12:43,,
2.50E-05,0.505125463,0.346779346,3.43E-05,0.086613983,0.071697801,15.97709084,0.055849493,1,2022/8/4 12:43,,
2.50E-05,0.447166353,0.344251841,3.50E-05,0.065266393,0.037613068,15.97208023,0.056072984,1,2022/8/4 12:44,,
